Total secondary entries: 56320	
Used secondary entries: 36077	
IDX	LPA	PPA	STATE
0	922847	1059115	1	
1	963221	1059116	1	
2	963237	1059117	1	
3	-1	-1	0	
4	963259	1059119	1	
5	963260	1059120	1	
6	963270	1059121	1	
7	963275	1059122	1	
8	963277	1059123	1	
9	963280	1059124	1	
10	963297	1059125	1	
11	963302	1059126	1	
12	963303	1059127	1	
13	963307	1059128	1	
14	963322	1059129	1	
15	866821	916425	1	
16	963344	1059130	1	
17	963346	1059131	1	
18	963348	1059132	1	
19	866841	916429	1	
20	-1	-1	0	
21	-1	-1	0	
22	963359	1059135	1	
23	866867	916433	1	
24	866880	916434	1	
25	866881	916435	1	
26	963360	1059136	1	
27	963368	1059137	1	
28	866902	916438	1	
29	963374	1059138	1	
30	866909	916440	1	
31	963375	1059139	1	
32	800218	964309	1	
33	963379	1059140	1	
34	-1	-1	0	
35	800315	964312	1	
36	800322	964313	1	
37	963402	1059141	1	
38	800345	964315	1	
39	963406	1059142	1	
40	963419	1059143	1	
41	963421	1059144	1	
42	963424	1059145	1	
43	963435	1059146	1	
44	963460	1059147	1	
45	963472	1059148	1	
46	963473	1059149	1	
47	963474	1059150	1	
48	963482	1059151	1	
49	963492	1059152	1	
50	963506	1059153	1	
51	963512	1059154	1	
52	963517	1059155	1	
53	963530	1059156	1	
54	963544	1059157	1	
55	963552	1059158	1	
56	963558	1059159	1	
57	963559	1059160	1	
58	963564	1059161	1	
59	963573	1059162	1	
60	963582	1059163	1	
61	963588	1059164	1	
62	963595	1059165	1	
63	963604	1059166	1	
64	963608	1059167	1	
65	963610	1059168	1	
66	963618	1059169	1	
67	963626	1059170	1	
68	963630	1059171	1	
69	963634	1059172	1	
70	963637	1059173	1	
71	963638	1059174	1	
72	963640	1059175	1	
73	963674	1059176	1	
74	963676	1059177	1	
75	963677	1059178	1	
76	-1	-1	0	
77	963683	1059180	1	
78	963689	1059181	1	
79	963691	1059182	1	
80	963701	1059183	1	
81	963706	1059184	1	
82	963716	1059185	1	
83	963734	1059186	1	
84	-1	-1	0	
85	963753	1059188	1	
86	963755	1059189	1	
87	963766	1059190	1	
88	963768	1059191	1	
89	963772	1059192	1	
90	963777	1059193	1	
91	963786	1059194	1	
92	963792	1059195	1	
93	963793	1059196	1	
94	963795	1059197	1	
95	963802	1059198	1	
96	963805	1059199	1	
97	963806	1059200	1	
98	963812	1059201	1	
99	963816	1059202	1	
100	963823	1059203	1	
101	-1	-1	0	
102	-1	-1	0	
103	963830	1059206	1	
104	963832	1059207	1	
105	963835	1059208	1	
106	968484	1011426	1	
107	968485	1011427	1	
108	968486	1011428	1	
109	963844	1059209	1	
110	968512	1011430	1	
111	968513	1011431	1	
112	968515	1011432	1	
113	-1	-1	0	
114	968524	1011434	1	
115	963848	1059211	1	
116	963854	1059212	1	
117	963877	1059213	1	
118	-1	-1	0	
119	963888	1059215	1	
120	963891	1059216	1	
121	963892	1059217	1	
122	607547	780708	1	
123	963897	1059218	1	
124	-1	-1	0	
125	963900	1059220	1	
126	963919	1059221	1	
127	963923	1059222	1	
128	963931	1059223	1	
129	-1	-1	0	
130	963936	1059225	1	
131	963940	1059226	1	
132	963949	1059227	1	
133	963954	1059228	1	
134	963964	1059229	1	
135	963968	1059230	1	
136	-1	-1	0	
137	-1	-1	0	
138	-1	-1	0	
139	-1	-1	0	
140	-1	-1	0	
141	-1	-1	0	
142	-1	-1	0	
143	-1	-1	0	
144	-1	-1	0	
145	-1	-1	0	
146	963976	1059232	1	
147	-1	-1	0	
148	-1	-1	0	
149	-1	-1	0	
150	-1	-1	0	
151	-1	-1	0	
152	-1	-1	0	
153	-1	-1	0	
154	963979	1059233	1	
155	-1	-1	0	
156	-1	-1	0	
157	-1	-1	0	
158	-1	-1	0	
159	-1	-1	0	
160	963982	1059235	1	
161	964003	1059236	1	
162	-1	-1	0	
163	-1	-1	0	
164	-1	-1	0	
165	-1	-1	0	
166	403022	638609	1	
167	-1	-1	0	
168	-1	-1	0	
169	-1	-1	0	
170	-1	-1	0	
171	-1	-1	0	
172	-1	-1	0	
173	-1	-1	0	
174	-1	-1	0	
175	964004	1059237	1	
176	-1	-1	0	
177	-1	-1	0	
178	845727	870577	1	
179	-1	-1	0	
180	-1	-1	0	
181	-1	-1	0	
182	-1	-1	0	
183	-1	-1	0	
184	845746	870583	1	
185	845750	870584	1	
186	845751	870585	1	
187	-1	-1	0	
188	-1	-1	0	
189	845755	870588	1	
190	-1	-1	0	
191	845762	870590	1	
192	-1	-1	0	
193	845766	870592	1	
194	-1	-1	0	
195	-1	-1	0	
196	-1	-1	0	
197	-1	-1	0	
198	-1	-1	0	
199	-1	-1	0	
200	-1	-1	0	
201	-1	-1	0	
202	-1	-1	0	
203	964009	1059239	1	
204	-1	-1	0	
205	-1	-1	0	
206	964010	1059240	1	
207	-1	-1	0	
208	-1	-1	0	
209	-1	-1	0	
210	-1	-1	0	
211	-1	-1	0	
212	-1	-1	0	
213	-1	-1	0	
214	-1	-1	0	
215	-1	-1	0	
216	-1	-1	0	
217	-1	-1	0	
218	-1	-1	0	
219	-1	-1	0	
220	964015	1059241	1	
221	-1	-1	0	
222	-1	-1	0	
223	-1	-1	0	
224	-1	-1	0	
225	-1	-1	0	
226	-1	-1	0	
227	-1	-1	0	
228	-1	-1	0	
229	-1	-1	0	
230	-1	-1	0	
231	964018	1059242	1	
232	-1	-1	0	
233	-1	-1	0	
234	-1	-1	0	
235	-1	-1	0	
236	-1	-1	0	
237	-1	-1	0	
238	-1	-1	0	
239	-1	-1	0	
240	964025	1059244	1	
241	-1	-1	0	
242	-1	-1	0	
243	-1	-1	0	
244	964035	1059245	1	
245	-1	-1	0	
246	964044	1059246	1	
247	-1	-1	0	
248	-1	-1	0	
249	1014335	1059247	1	
250	1014336	1059248	1	
251	-1	-1	0	
252	-1	-1	0	
253	-1	-1	0	
254	1014338	1059249	1	
255	1014342	1059250	1	
256	-1	-1	0	
257	-1	-1	0	
258	-1	-1	0	
259	1014344	1059251	1	
260	-1	-1	0	
261	1014348	1059252	1	
262	-1	-1	0	
263	1014349	1059253	1	
264	1014354	1059254	1	
265	-1	-1	0	
266	1014357	1059255	1	
267	-1	-1	0	
268	-1	-1	0	
269	1014360	1059256	1	
270	1014361	1059257	1	
271	-1	-1	0	
272	-1	-1	0	
273	-1	-1	0	
274	1014363	1059258	1	
275	-1	-1	0	
276	1014366	1059259	1	
277	1014368	1059260	1	
278	-1	-1	0	
279	-1	-1	0	
280	-1	-1	0	
281	-1	-1	0	
282	1014372	1059261	1	
283	1014378	1059262	1	
284	-1	-1	0	
285	-1	-1	0	
286	-1	-1	0	
287	-1	-1	0	
288	-1	-1	0	
289	1014381	1059263	1	
290	-1	-1	0	
291	-1	-1	0	
292	1014385	1059264	1	
293	-1	-1	0	
294	1014389	1059265	1	
295	-1	-1	0	
296	1014403	1059266	1	
297	-1	-1	0	
298	-1	-1	0	
299	-1	-1	0	
300	-1	-1	0	
301	576747	824504	1	
302	-1	-1	0	
303	-1	-1	0	
304	-1	-1	0	
305	-1	-1	0	
306	-1	-1	0	
307	887884	916691	1	
308	-1	-1	0	
309	-1	-1	0	
310	1014406	1059268	1	
311	-1	-1	0	
312	-1	-1	0	
313	-1	-1	0	
314	1014416	1059269	1	
315	1014423	1059270	1	
316	-1	-1	0	
317	-1	-1	0	
318	-1	-1	0	
319	-1	-1	0	
320	-1	-1	0	
321	649980	731296	1	
322	-1	-1	0	
323	-1	-1	0	
324	-1	-1	0	
325	-1	-1	0	
326	-1	-1	0	
327	-1	-1	0	
328	-1	-1	0	
329	-1	-1	0	
330	873980	964583	1	
331	-1	-1	0	
332	873994	964585	1	
333	-1	-1	0	
334	874005	964587	1	
335	581080	685958	1	
336	874019	964588	1	
337	874026	964589	1	
338	1014427	1059271	1	
339	874057	964591	1	
340	-1	-1	0	
341	-1	-1	0	
342	92638	595457	1	
343	-1	-1	0	
344	-1	-1	0	
345	1014428	1059272	1	
346	731190	964597	1	
347	731216	964598	1	
348	-1	-1	0	
349	1014430	1059273	1	
350	-1	-1	0	
351	1014432	1059274	1	
352	1014435	1059275	1	
353	-1	-1	0	
354	-1	-1	0	
355	-1	-1	0	
356	1014441	1059277	1	
357	1014442	1059278	1	
358	1014447	1059279	1	
359	-1	-1	0	
360	1014456	1059280	1	
361	1014461	1059281	1	
362	1014465	1059282	1	
363	-1	-1	0	
364	1014468	1059283	1	
365	1014472	1059284	1	
366	-1	-1	0	
367	-1	-1	0	
368	-1	-1	0	
369	1014474	1059285	1	
370	-1	-1	0	
371	1014479	1059286	1	
372	1014481	1059287	1	
373	-1	-1	0	
374	1014492	1059288	1	
375	1014493	1059289	1	
376	1014494	1059290	1	
377	-1	-1	0	
378	1014501	1059291	1	
379	-1	-1	0	
380	-1	-1	0	
381	1014510	1059292	1	
382	-1	-1	0	
383	1014515	1059294	1	
384	1014519	1059295	1	
385	1014529	1059296	1	
386	-1	-1	0	
387	1014538	1059298	1	
388	1014542	1059299	1	
389	1014543	1059300	1	
390	-1	-1	0	
391	928328	1011661	1	
392	1014546	1059301	1	
393	928338	1011662	1	
394	1014553	1059302	1	
395	1014555	1059303	1	
396	1014556	1059304	1	
397	-1	-1	0	
398	1014563	1059306	1	
399	1014568	1059307	1	
400	1014572	1059308	1	
401	1014574	1059309	1	
402	928377	1011663	1	
403	928388	1011664	1	
404	1014575	1059310	1	
405	1014579	1059311	1	
406	1014580	1059312	1	
407	928395	1011665	1	
408	1014581	1059313	1	
409	1014585	1059314	1	
410	1014593	1059315	1	
411	1014602	1059316	1	
412	928400	1011666	1	
413	1014603	1059317	1	
414	-1	-1	0	
415	1014609	1059318	1	
416	928411	1011667	1	
417	1014611	1059319	1	
418	1014617	1059320	1	
